link,title,body,attachment_0_link,attachment_0_name,attachment_1_link,attachment_1_name,attachment_2_link,attachment_2_name,attachment_3_link,attachment_3_name,attachment_4_link,attachment_4_name,attachment_5_link,attachment_5_name,attachment_6_link,attachment_6_name,attachment_7_link,attachment_7_name,attachment_8_link,attachment_8_name,attachment_9_link,attachment_9_name,attachment_10_link,attachment_10_name,attachment_11_link,attachment_11_name,attachment_12_link,attachment_12_name,attachment_13_link,attachment_13_name,attachment_14_link,attachment_14_name,attachment_15_link,attachment_15_name,attachment_16_link,attachment_16_name,attachment_17_link,attachment_17_name,attachment_18_link,attachment_18_name,attachment_19_link,attachment_19_name,attachment_20_link,attachment_20_name,attachment_21_link,attachment_21_name,attachment_22_link,attachment_22_name,attachment_23_link,attachment_23_name,opening date,closing date,ISBN,person,addr,email
http://www.communities.gov.uk/publications/localgovernment/amendmentscouncil2,Amendments to Council Tax and Non-domestic Rates Secondary Legislation - Summary of Consultation Responses,"On 8 August 2006, Communities and Local Government published a consultation paper which sought views on a number of proposed minor amendments to council tax and non-domestic rates secondary legislation. The consultation closed on 31 October. This document contains a summary of responses and sets out the Government's decisions in the light of those responses.
",http://www.communities.gov.uk/documents/localgovernment/pdf/154389.pdf,Amendments to Council Tax and Non-domestic Rates Secondary Legislation - Summary of Consultation Responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 December 2006,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/proposedamendment2,Proposed Amendment to the Town and Country Planning (Regional Planning) (England) Regulations 2004: Consultation Response,"Summary of responses to consultation paper.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/152819.pdf,Proposed Amendment to the Town and Country Planning (Regional Planning) (England) Regulations 2004: Consultation Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 December 2006,,,,,
http://www.communities.gov.uk/archived/publications/planningandbuilding/application,The application of the Environmental Impact Assessment Directive to 'stalled' reviews of old mineral permissions and periodic reviews of mineral permissions in England: Consultation Paper,"This consultation seeks your comments on a proposal to amend the Town and Country Planning (Environmental Impact Assessment) (England and Wales) Regulations 1999 ('EIA Regulations 1999') in relation to England. The proposed amendments would put beyond doubt the application of the provisions of the EIA Regulations 1999 and of the EIA Directive to applications for the review of old minerals permissions submitted before 15 November 2000 but not yet determined. They would provide for the sanction of suspension of operations to apply to sites which are the subject of such applications which remain undetermined.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/160473.pdf,The application of the Environmental Impact Assessment Directive to stalled reviews of old mineral permissions and periodic reviews of mineral permissions in England: Consultation Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 December 2006,12 March 2007,,,,
http://www.communities.gov.uk/publications/housing/independentreview2,Independent review of regulation of social housing: Issues paper for residents,"The Secretary of State has commissioned a widespread review of the regulation of social housing.

One of the principal objectives of the review is to identify the regulatory framework which will be most effective in securing high quality service delivery.

We are keen for residents to engage with the review and submit evidence. We see residents as the first of two principal 'customers' of social housing (the other customer being the taxpayers who fund this development and regulation).  We want the regulatory arrangements to ensure that housing services are high quality and value for money and that residents have an effective say in how they are designed and delivered. We also want to explore how residents can play a more influential role in the regulation of social housing.

This paper focuses on issues that we are considering, and that we believe will be important to residents. However we are keen to receive all views on the issues, whether they are consistent with or different from our thoughts. We recognise that we cannot presume that our judgement of this will necessarily be right, and if you feel that our assessment of the issues is incomplete or incorrect, then it is important to us that submissions to the review set out alternative views.
",http://www.communities.gov.uk/documents/housing/pdf/153256.pdf,Independent review of regulation of social housing: Issues paper for residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 December 2006,14 March 2007,,,,
http://www.communities.gov.uk/publications/housing/independentreview,Independent review of regulation of social housing: A call for evidence,"This review has been commissioned to consider the range of options available for the regulation of social housing activities. The content of the review document will be of most interest (but not limited) to:

  * Social housing residents and tenant organisations
  * Housing charities
  * Housing associations and their trade bodies
  * Local authorities and representative bodies
  * Arms Length Management Organisations (ALMOs) and trade body
  * Housing management providers
  * Private housing developers and National Housebuilders Federation
  * Council of Mortgage Lenders and main lenders to the Registered Social Landlord's sector
  * Chartered Institute of Housing
  * Government Departments
  * Other regulatory bodies with an interest in Housing Corporation regulation.

The objectives of the review were set out in the 'The Cave Review of Social Housing Regulation: Terms of Reference'.

Responses to the review should be emailed to [cavereview@communities.gsi.gov.uk](mailto:cavereview@communities.gsi.gov.uk) or sent to:

**Elizabeth Knapp**   
Communities and Local Government,  
2/E1 Eland House  
Bressenden Place  
London SW1E 5DU
",http://www.communities.gov.uk/documents/housing/pdf/152816.pdf,Independent review of regulation of social housing: A call for evidence - Letter to stakeholders,http://www.communities.gov.uk/documents/housing/pdf/153349.pdf,Independent review of regulation of social housing: A call for evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 December 2006,14 March 2007,,,,
http://www.communities.gov.uk/publications/localgovernment/valuationtribunalsmodernisationc,Valuation Tribunals - Modernisation and Reorganistaion - The Government's Conclusions,"This document contains the Government's conclusions in light of the Valuation Tribunals - Modernisation and Reorganistaion consultation.
",http://www.communities.gov.uk/documents/localgovernment/pdf/152927.pdf,Valuation Tribunals - Modernisation and Reorganisation - The Government's Conclusions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 December 2006,,,,,
http://www.communities.gov.uk/publications/localgovernment/valuationtribunalsmodernis2,Valuation Tribunals - Modernisation and Reorganisation - Summary of responses,"This document provides a factual analysis of the responses received to the Valuation Tribunal - Modernisation and Reorganisation consultation paper.
",http://www.communities.gov.uk/documents/localgovernment/pdf/154121.pdf,Valuation Tribunals - Modernisation & Reorganisation Consultation Summary of Responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 December 2006,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/mandatingwaterefficiency,Mandating Water Efficiency in New Buildings - A Consultation,"This publication is a consultation document seeking views on the Government's proposals to make minimum standards of water efficiency performance mandatory in all new homes and new commercial developments.  These standards will underpin those set out in the Code for Sustainable Homes. The document seeks opinions on various options, and sets out the costs and benefits (reduced consumer demand for water supply, carbon savings etc) that would result.  This document is an important stepping stone towards a more sustainable building stock for the future.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/152813.pdf,Water Efficiency in New Buildings (Part 1 of 2),http://www.communities.gov.uk/documents/planningandbuilding/pdf/153029.pdf,Water Efficiency in New Buildings (Part 2 of 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 December 2006,8 March 2007,,,,
http://www.communities.gov.uk/archived/publications/planningandbuilding/buildinggreener,Building a Greener Future: Towards Zero Carbon Development - Consultation,"This publication is a consultation document seeking views on the Government's proposals to reduce the carbon footprint of new housing development. It sets out the Government's views on the importance of moving towards zero carbon in new housing. It explores the relationship between the planning system, Code for Sustainable Homes and Building Regulations in delivering our ambitions for zero carbon. And it proposes a timetable for revising the Building Regulations so as to reach zero carbon development in all new housing in England & Wales.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/153125.pdf,Building a Greener Future: Towards Zero Carbon Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 December 2006,8 March 2007,,,,
http://www.communities.gov.uk/archived/publications/planningandbuilding/consultationplanningpolicy,Consultation - Planning Policy Statement: Planning and Climate Change - Supplement to Planning Policy Statement 1,"This consultation seeks views and comments on a draft Planning Policy Statement (PPS) on Planning and Climate Change.

The PPS sets out how planning, in providing for the new homes, jobs and infrastructure needed by communities, should help shape places with lower carbon emissions and resilient to the climate change now accepted as inevitable. When finalised, the PPS will supplement _Planning Policy Statement 1: Delivering Sustainable Development_ (PPS1).
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/153119.pdf,Consultation - Planning Policy Statement: Planning and Climate Change - Supplement to Planning Policy Statement 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 December 2006,8 March 2007,,,,
http://www.communities.gov.uk/archived/publications/regeneration/role,The Role of City Development Companies in English Cities and City-Regions - A Consultation,"The 2006 Local Government White Paper announced the intention of Communities and Local Government to promote the concept of city development companies for English cities and city-regions, including through developing guidance in conjunction with partners. This consultation is part of that process.
",http://www.communities.gov.uk/documents/regeneration/pdf/154118.pdf,The Role of City Development Companies in English Cities and City-Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 December 2006,7 March 2007,,,,
http://www.communities.gov.uk/archived/publications/planningandbuilding/consultationplanning4,Consultation on Planning Policy Statement 25: Development and Flood Risk - A summary of responses,"This summary provides an analysis of the responses to the 2005-06 consultation on the draft _Planning Policy Statement 25: Development and Flood Risk_ (PPS25). The consultation sought views on four key points:

  * the proposed PPS25 draft
  * the draft framework for the supporting Practice Guide
  * the draft Town and Country Planning (Flooding) (England) Direction [2006] and
  * the extension and amendment of the Environment Agency's Consultee Role
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/154211.pdf,Consultation on Planning Policy Statement 25: Development and Flood Risk - A summary of responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 December 2006,,,,,
http://www.communities.gov.uk/archived/publications/planningandbuilding/changesplanning,Changes to Planning Obligations: a Planning-gain Supplement consultation,"This document sets out for consultation the Government's proposals for a new system of planning obligations in England. Building on the previous proposals published in December 2005 as part of the Government's proposals for a 'Planning-gain Supplement', it seeks views on more detailed aspects of the scope of the new system. The document is concerned exclusively with how planning obligations would operate if a Planning-gain Supplement was introduced.

This consultation forms part of a package of proposals relating to the Planning-gain Supplement and should be read in conjunction with the following documents which are available from [HM Treasury](http://www.hm-treasury.gov.uk/prebud_pbr06_repindex.htm) (external link) and [HM Revenue & Customs](http://www.hmrc.gov.uk/pbr2006/supplementary.htm) (external link). Details of how to respond to the following documents are included in the relevant paper.

  * 2006 Pre-Budget Report statement (HM Treasury)
  * Paying PGS - a Planning-gain Supplement technical consultation paper (HMRC)
  * Valuing Planning Gain - a Planning-gain Supplement consultation paper (HMRC)
  * Summary of responses to 2005 consultation (HM Treasury)
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/152900.pdf,Changes to Planning Obligations: a Planning-gain Supplement consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 December 2006,28 February 2007,,,,
http://www.communities.gov.uk/publications/localgovernment/valuationtribunalsconsultation,Valuation Tribunals - Appeals Direct for Council Tax - Consultation Paper,"This consultation paper seeks views on proposals to introduce a clearer, more customer-friendly and more efficient system for the handling by the Valuation Office Agency and valuation tribunals of appeals against council tax bandings in England.
",http://www.communities.gov.uk/documents/localgovernment/pdf/153617.pdf,Valuation Tribunals - Appeals Direct for Council Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 December 2006,27 February 2007,,,,
http://www.communities.gov.uk/publications/planningandbuilding/draftmarineminerals,Draft Marine Minerals Dredging Regulations and Procedural Guidance: Summary of Responses to Consultation,"A summary of the 44 responses to the consultation in England between June and the end of August 2006 on draft regulations, and accompanying guidance, to establish a statutory regulatory regime for marine minerals dredging and to transpose EU Directives in relation to this dredging.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/marineconsultationresponse.pdf,Draft Marine Minerals Dredging Regulations and Procedural Guidance: Summary of Responses to Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 November 2006,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/consultationplanning3,Consultation on Planning Policy Statement 3: Housing (PPS3) - A summary of responses and key issues,"This summary sets out and analyses the responses received to the consultation paper on the draft _Planning Policy Statement 3: Housing_ (PPS3).
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/consultationhousingresponse.pdf,Consultation on Planning Policy Statement 3: Housing (PPS3) - A summary of responses and key issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29 November 2006,,,,,
http://www.communities.gov.uk/archived/publications/housing/housinginvestment2,Housing Investment in the Regions: Consultation Paper and Technical Note,"This paper has been circulated to key regional organisations, including the Regional Assemblies, all local housing authorities and RSLs in England and a range of other specialist interests. The paper has been circulated electronically and is available on the DCLG website. Hard copies can be obtained by contacting the address below.

This consultation is a limited technical consultation rather than a full public one. For this reason a Regulatory Impact Assessment has not been undertaken at this stage. Early indicators are that the proposals in this paper will not impose any additional burdens on local government, business or the voluntary sector.

As this paper only consults on the indicators that it is proposed will form the formula for arriving at a regional split of the RHP, it is not possible at this stage to assess fully the impact on BME and other minority groups. Therefore, a Race Equality Impact Assessment is not attached to this paper. One will be prepared as part of our proposed consultation on the whole formula during Summer 2007. In the meantime, the Technical Note to this paper sets out for each proposed indicator a very initial assessment of its possible impact on BME groups where appropriate and where adequate data is available. It is anticipated that the aggregate impact on BME and other minority groups of these indicators will be positive.

Comments on the proposals in this paper should be provided by **Friday 16 February 2007**. They should be sent, preferably by e-mail, to

Nazma Begum  
Communities and Local Government  
Zone 2/H1, Eland House  
Bressenden Place  
London SW1 5DU  
e-mail: [nazma.begum@communities.gsi.gov.uk](mailto:nazma.begum@communities.gsi.gov.uk)
",http://www.communities.gov.uk/documents/housing/pdf/152570.pdf,Housing Investment in the Regions: Technical Note,http://www.communities.gov.uk/documents/housing/pdf/153848.pdf,Housing Investment in the Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 November 2006,16 February 2007,,,,
http://www.communities.gov.uk/archived/publications/corporate/advancingequality,Advancing equality for men and women: Government proposals to introduce a public sector duty to promote gender equality - Government response to the consultation,"In October 2005, the Government launched a consultation document on its proposals to introduce a public sector duty to promote gender equality - commonly referred to as the 'gender equality duty'. This document summarises the main responses to the consultation exercise, which ended on 20 January 2006, and set out the Government's approach in relation to the specific duties to apply to England and Wales.
",http://www.communities.gov.uk/documents/corporate/pdf/advancingequality.pdf,Advancing equality for men and women: Government proposals to introduce a public sector duty to promote gender equality - Government response to the consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 November 2006,,,,,
http://www.communities.gov.uk/archived/publications/communities/commissionintegration,Commission on Integration and Cohesion - Your chance to tell us what you think,"The Commission on Integration and Cohesion is inviting national organisations, local organisations and individuals in communities across the country to say what they think integration and cohesion means to them - and what practical steps can be taken to make our communities more cohesive and integrated places to live. 

The Commission's document called - _Your chance to tell us what you think_ - is a chance for a wide range of people to influence its report, which will be published in June 2007.

Supplementary questions for representative organisations are also available below (published 11 December 2006).
",http://www.communities.gov.uk/documents/communities/pdf/153725.pdf,Commission on Integration and Cohesion - Your chance to tell us what you think,http://www.communities.gov.uk/documents/communities/doc/152462.doc,Commission on Integration and Cohesion - Your chance to tell us what you think - Feedback form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 November 2006,19 January 2007,,,,
http://www.communities.gov.uk/archived/publications/fire/futurefundingoptions,Future funding options for Firebuy Limited - A consultation document,"This document sets out the possible funding options for the Non Departmental Public Body Firebuy Ltd from 1 April 2008. It seeks views on options proposed and the questions posed in the document.

Responses and comments, to be received by 6 February 2007 should be sent to:

Pippa Brown  
Communities and Local Government  
Fire and Rescue Service Development Division  
Allington Towers  
PO Box No 50200  
Zone 4/a  
Allington Street  
London  
SW1E 5WY

Email: [fsed6@communities.gsi.gov.uk](mailto:fsed6@communities.gsi.gov.uk)   
Tel: 020 7944 0055
",http://www.communities.gov.uk/documents/fire/pdf/153080.pdf,Future funding options for Firebuy Limited - a consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 October 2006,6 February 2007,,,,
http://www.communities.gov.uk/archived/publications/housing/drafthousingrevenue,Draft Housing Revenue Account (Item 8) and Housing Revenue Account Subsidy Determinations 2007-2008,"The purpose of the letter and accompanying material (below) is to notify you of the start of the consultation on the determinations mentioned above.

**The** **consultation ends at 5pm on Monday 11 December 2006.**

(Please note that the deadline for making any auditor-certified changes to the base data is **5pm on Friday 1 December**).

Please send any comments on the proposals contained in the draft determinations and direction to:

Bryan Lea  
Communities and Local Government  
Zone 2/J4  
Eland House  
Bressenden Place  
London SW1E 5DU

E-mail: [bryan.lea@communities.gsi.gov.uk](mailto:bryan.lea@communities.gsi.gov.uk).

If you are sending comments by e-mail, please include a heading marked ' **HRAS Consultation:'** this will enable us to process them more easily.

Please indicate whether you want your comments to be treated as confidential, otherwise the Department will assume that you are content for a copy to be made publicly available in the Department's libraries and the House of Commons Library.

General enquiries about the HRA and about HRA subsidy should be directed to [housing.subsidy@communities.gsi.gov.uk](mailto:housing.subsidy@communities.gsi.gov.uk)
",http://www.communities.gov.uk/documents/housing/pdf/152543.pdf,Draft Housing Revenue Account Subsidy Determination 2007-2008,http://www.communities.gov.uk/documents/housing/xls/152759.xls,Draft HRA Subsidy Determination 2007-2008: Annexes,http://www.communities.gov.uk/documents/housing/xls/152876.xls,Draft HRA Subsidy Determination 2007-2008: Schedules,http://www.communities.gov.uk/documents/housing/pdf/153202.pdf,Draft Housing Revenue Account (Item 8) and Housing Revenue Account Subsidy Determinations 2006-2007,http://www.communities.gov.uk/documents/housing/pdf/153205.pdf,The Draft Item 8 Credit and Item 8 Debit (General) Determination 2007-2008,http://www.communities.gov.uk/documents/housing/xls/153298.xls,Draft HRA Subsidy Determination 2007-2008: Tables,http://www.communities.gov.uk/documents/housing/pdf/153716.pdf,Commentary on the draft Housing Revenue Account Subsidy Determination 2007-2008,http://www.communities.gov.uk/documents/housing/pdf/154148.pdf,"Draft Rent Rebate Subsidy Limitation: Derogations 2007-2008, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 October 2006,11 December 2006,,,,
http://www.communities.gov.uk/archived/publications/fire/firecontrolprojectfull,Firecontrol Project: Full Business Case Volume 1 (Second Draft) - A consultation paper,"This is a development draft of the Full Business Case for the FiReControl project. This edition incorporates the outcome of the accommodation procurement and negotiations with infrastructure services providers prior to the invitation to submit a Best and Final Offer (BAFO). It supersedes all previous versions.
",http://www.communities.gov.uk/documents/fire/pdf/319783.pdf,Firecontrol Project: Full Business Case Volume 1 (2nd draft) - a consultation,http://www.communities.gov.uk/documents/fire/doc/320307.doc,Firecontrol Project: Full Business Case Volume 1 (2nd draft) - a consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 October 2006,30 January 2007,,,,
http://www.communities.gov.uk/publications/localgovernment/smallbusinessrate,Small Business Rate Relief - A Summary of Consultation Responses,"This document provides a summary of responses to the consultation on proposed amendments to the small business rate relief scheme.
",http://www.communities.gov.uk/documents/localgovernment/pdf/154070.pdf,Small Business Rate Relief - A Summary of Consultation Responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 October 2006,,,,,
http://www.communities.gov.uk/publications/localgovernment/inspectionreform2,Inspection Reform: the Future of Local Services Inspection - An Analysis of Consultation Responses and Summary of Policy Decisions,"This synopsis reflects the comments and views received in response to the questions posed in the consultation on _Inspection Reform: The Future of Local Services Inspection_, undertaken between 28 November 2005 and 3 March 2006.

The consultation has influenced the policy decisions that have been set out in _Strong and Prosperous Communities: The Local Government White Paper_ and will be reflected in the work to merge the Audit Commission and Benefit Fraud Inspectorate to form the local services inspectorate which will retain the name and brand of the Audit Commission.
",http://www.communities.gov.uk/documents/localgovernment/pdf/153295.pdf,Inspection Reform: the Future of Local Services Inspection - An analysis of Consultation Responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 October 2006,,,,,
http://www.communities.gov.uk/archived/publications/localgovernment/localstrategicpartnerships3,Local Strategic Partnerships: Shaping their future - An Analysis of Consultation Reponses,"This report outlines the findings of the questionnaire included in the _Local Strategic Partnerships: Shaping their future_ consultation document. The analysis was conducted by Ipsos MORI Social Research Institute for Communities and Local Government.
",http://www.communities.gov.uk/documents/localgovernment/pdf/154142.pdf,Local Strategic Partnerships: Shaping their future - An Analysis of Consultation Reponses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 October 2006,,,,,
http://www.communities.gov.uk/archived/publications/housing/summaryresponses3,"Summary of Responses to the revision of The Guide to the Right to Manage, and Preparing to Manage consultation exercise","These final two guides will complete the package of Right to Manage guidance for Tenant Management Organisations including the Modular Management Agreement published last year).

The consultation exercise for the above two guidance documents ended on 24 May 2006. Eleven responses were received, the majority (8) from local authorities, one from a tenant participation advice organisation, one from a law company and one from the Tenant Participation Advisory Service.

All responses received supported the proposed updates, although there were various comments on ways it could be further improved. The changes listed below reflect the more major changes we intend to make. Not all the suggestions were accepted; many minor suggestions we felt did not add to the quality of the guide. Some are being further considered. Those we have accepted and the changes we will be making to the Guide to the Right to Manage and Preparing to Manage are listed below (in page/section order).
",http://www.communities.gov.uk/documents/housing/pdf/153289.pdf,"Summary of Responses to the revision of The Guide to the Right to Manage, and Preparing to Manage consultation exercise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 October 2006,,,,,
http://www.communities.gov.uk/publications/fire/frsstrategy,FRS Strategy for Children and Young People: Response to the Consultation Exercise,"Supporting documents for the FRS Strategy for Children and Young People including consultation responses, a report from the consultation workshops and an Equality Impact Screening.
",http://www.communities.gov.uk/documents/fire/pdf/152348.pdf,Report on Consultation Workshops,http://www.communities.gov.uk/documents/fire/pdf/152540.pdf,Equality Impact Screening,http://www.communities.gov.uk/documents/fire/pdf/153827.pdf,Consultation Response Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 October 2006,,,,,
http://www.communities.gov.uk/archived/publications/planningandbuilding/proposedplanningbest2,Proposed Planning Best Value Performance Standards for 2007-08 Consultation: A consultation paper,"The consultation ran from 20 October 2006 to 15 December 2006.  
  
It named those local planning authorities in England that the Department proposed to formally designate as planning standards authorities for 2007-08 under the Best Value provisions of the Local Government Act 1999 because of poor performance against BV109.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/153587.pdf,Proposed Planning Best Value Performance Standards for 2007-08 Consultation: A consultation paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 October 2006,15 December 2006,,,,
http://www.communities.gov.uk/archived/publications/fire/limitedconsultationexercise,Limited Consultation Exercise on Extension to Charging Order by Fire and Rescue Authorities,"This limited consultation document asks opinions on extending the charging regime and views on whether there should be further research on this.

Responses and comments should be sent to:

Anna Wadsworth  
Communities and Local Government  
Fire and Rescue Service Development Division  
Zone 4/A, Allington Towers  
PO Box No 50200  
Allington Street  
London SW1E 5WY

It would be helpful if responses were submitted electronically, as this will considerably reduce the time needed to compile and analyse the comments received. Emails can be sent to [fsed6@communities.gsi.gov.uk](mailto:fsed6@communities.gsi.gov.uk)
",http://www.communities.gov.uk/documents/fire/pdf/152744.pdf,Extension to Charging Order by Fire and Rescue Authorities - limited consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 October 2006,10 January 2007,,,,
http://www.communities.gov.uk/archived/publications/housing/howmake,How to make Supporting People work better : a report about what you told us :  a summary of responses to the consultation paper.,"How to make Supporting People work better : a report about what you told us : a summary of responses to the consultation paper. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 October 2006,,,,,
http://www.communities.gov.uk/archived/publications/housing/creatingsustainablesupportingind,Creating Sustainable Communities: Supporting Independence - A Summary of Your Responses,"In November 2006 the Department consulted on the future of the Supporting People Programme. This report summarises the responses received to that consultation. 
",http://www.spkweb.org.uk/NR/rdonlyres/024F1D4C-9AD8-4842-96D7-82598EE5A005/9865/Consultationsummaryofresponses.pdf,Creating Sustainable Communities: Supporting Independence - A Summary of Your Responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 October 2006,,,,,
http://www.communities.gov.uk/archived/publications/housing/housingrevenue2,The Housing Revenue Account (Accounting Practices) Directions 2006 and The Item 8 Credit and Item 8 Debit (General) Determination 2006-2007: Amending Determination 2006,"Under Section 87(2) of the Local Government and Housing Act 1989, the Secretary of State is required to consult representatives of local government and relevant professional bodies before making new directions and determinations, or before varying existing directions and determinations.

The purpose of the letter is to notify you of the start of consultation on the amending determination and accounting directions. These documents are available to download below. 

Various items of published guidance concerning the HRA are being changed or updated, particularly the stock valuation guidance. The current direction in force is the Housing Revenue Account (Accounting Practices) Direction 2000, and the Department wishes to update that document to reflect this and other changes that are proposed for 2006-2007.

Please send your comments no later than **5pm Thursday 7 December 2006** to:

Mr Bryan Lea  
Communities and Local Government  
2/J4 Eland House  
Bressenden Place  
London SW1E 5DU

E-mail responses are welcome. If you are replying by e-mail please include the words 'consultation response' in the subject or title. These and any enquiries can be sent to: [housing.subsidy@communities.gsi.gov.uk](mailto:housing.subsidy@communities.gsi.gov.uk)
",http://www.communities.gov.uk/documents/housing/pdf/152513.pdf,Letter to Chief Financial Officers/Chief Accountants of all Local Housing Authorities in England,http://www.communities.gov.uk/documents/housing/pdf/152615.pdf,The Item 8 Credit and Item 8 Debit (General) Determination 2006-2007: Amending Determination 2006,http://www.communities.gov.uk/documents/housing/pdf/153175.pdf,The Housing Revenue Account (Accounting Practices) Directions 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 October 2006,7 December 2006,,,,
http://www.communities.gov.uk/archived/publications/fire/extensioncharging,Extension to Charging by Fire and Rescue Authorities - Findings and further Consultation,"This details the findings of the first limited consultation document on extending the charging regime and includes a second limited consultation on adding one specific category.  
  
Responses and comments should be sent to:

Anna Wadsworth  
Communities and Local Government  
Fire and Rescue Service Development Division  
Zone 5/B, Allington Towers  
PO Box No 50200  
Allington Street  
London SW1E 5WY

It would be helpful if responses were submitted electronically, as this will considerably reduce the time needed to compile and analyse the comments received. Emails can be sent to [fsed6@communities.gsi.gov.uk](mailto:fsed6@communities.gsi.gov.uk)
",http://www.communities.gov.uk/documents/fire/pdf/320755.pdf,Extension to Charging by Fire and Rescue Authorities - Findings and further consultation,http://www.communities.gov.uk/documents/fire/doc/320759.doc,Extension to Charging by Fire and Rescue Authorities - Findings and further consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 October 2006,10 January 2007,,,,
http://www.communities.gov.uk/publications/planningandbuilding/listedbuildingscasework,Listed Buildings Casework: Summary of consultation responses,"The summary of consultation responses provides an overview of the responses to the Listed Buildings Casework consultation which was undertaken between 1 March 2006 and 24 May 2006.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/152029.pdf,Listed Buildings Casework: Summary of consultation responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 September 2006,,,,,
