Body,Associated organisations,Title,Summary,Old URL,Publication date
"The UK Government's action to protect the economy and growth will today help a range of people and sectors across Scotland, including a multi-million pound boost for capital spending. 

The Secretary of State for Scotland Michael Moore said:

""Against a difficult economic backdrop, we are taking the targeted measures we can afford to get Scotland's economy moving.

""There is a good deal of specific, positive news for Scotland. 

""The Scottish Government will receive more than £300 million of new money - in addition to the £1 billion it has already received since the Spending Review - all of which it can invest in shovel-ready projects.

""Our 2.7 million vehicle owners - particularly those in rural Scotland - will benefit from the decision to cancel the January fuel duty rise.

""And an additional 21,000 low income Scots will be taken out of tax altogether next April, bringing the number in Scotland to 183,000 in total, with around two million more receiving an income tax cut.  Fairer taxes are essential at this time of economic strain, and that is what we are delivering."" 

""Business will also benefit, whether from the Annual Investment Allowance increase, a reduction in corporation tax or new allowances for the North Sea oil and gas fields. The news that Perth and Aberdeen are to benefit from UK Government funding for broadband will also help prepare Scotland for the challenges ahead.

""The Autumn Statement makes clear we are on the right track in terms of borrowing and deficit reduction, despite the troubles on our doorstep in the eurozone. The UK Government will continue to take the right decision for our economy, allowing Scotland and the rest of the UK to compete and grow. ""

 

  **AUTUMN STATEMENT : SCOTLAND FIGURES**

** Extra Funding for the Scottish Government**

As a result of decisions in the 2012 Autumn Statement the overall spending power of the Scottish Government will increase by £331m over the Spending Period. 

This brings the total amount of additional funding given to the Scottish Government during the Spending Review to nearly £1.5bn  (£1,473m)

The Scottish Government will receive an extra £394m of capital funding over the rest of the Spending Review period (up to 2015).

**Personal Allowance**

Raising the Personal Allowance to £9440 will help 2.2m people in Scotland and take a further 21,000 low paid Scots (and now 183,000 in total) out of income tax entirely from next April.

**Fuel Duty**

Cancelling the fuel duty rise planned for January 2013 will help the owners of the 2.7m motor vehicles in Scotland, saving the typical driver £40 a year and a haulier £1,200 a year.

**Broadband : super-connected cities**

Perth and Aberdeen will benefit from a share of £50m Government funding to deliver ultra-fast fixed broadband access and large areas of public wireless connectivity. (12 UK cities in total)

**State Pension**

1m Scottish pensioners will benefit from the £2.70 a week increase from April 2013

**Help for Scottish SMEs**

Scotland's 319,000 Small and Medium Enterprises will benefit from a significant increase in the Annual Investment Allowance from £25,000 to £250,000 for two years covering investment in qualifying plant and machinery from January 2013.

**Corporation Tax cut**

Scottish businesses will benefit from the further one per cent cut in Corporation Tax from 2014 to 21%.

You can find out more about the Autumn Statement [here](http://www.hm-treasury.gov.uk/as2012_index.htm) (links to HMT website)
",Scotland Office,Moore: Autumn Statement Delivers For Scotland,,http://www.scotlandoffice.gov.uk/scotlandoffice/18252.html,5 December 2012
" 

In Edinburgh today, The Secretary of State for Scotland, Michael Moore met with Ian McGregor, Chief Executive of PoppyScotland, Manager Charlie Henning and members of staff from Lady Haig's  Poppy Factory to take delivery of the cards.

Poppyscotland was founded in 1921 as The Earl Haig Fund Scotland and now raises over £2m each year to provide financial assistance to thousands of ex-Servicemen and women as well as helping to fund specialist services such as long term care, housing and employment.  Dover House, the London headquarters of the Scotland Office hosts the annual PoppyScotland launch.

 

The original Lady Haig Poppy Factory was opened in March 1926, employing those who had been disabled during World War 1 to make poppies for Scotland, it currently has a work force of 40 ex-Servicemen producing around 5 million poppies by hand each year.

 

Michael Moore said:  ""It is a privilege to highlight Poppyscotland's excellent work by using their design for this year's Scotland Office Christmas card.

 

""The year-round work which Poppyscotland undertakes helping the thousands of ex-Servicemen and women, and their families in Scotland is to be commended.  It is especially poignant at this time of year to pay tribute to the work they are doing helping those who have experienced physical, emotional or financial difficulties since leaving the Armed Forces""

 

Poppyscotland Chief Executive Ian McGregor said: ""We are very pleased that the Secretary of State has chosen one of Poppyscotland's designs for his official Christmas card this year. Although our main fundraising drive is in November, our work continues all year round and our Christmas cards provide an ideal opportunity to support Scotland's Armed Forces community at this special time of year.""

 

(Pictured with Michael Moore are Stewart Ballantyne and Graham Sorley from Lady Haig's Poppy Factory)
",Scotland Office,Moore pays tribute to work of Poppyscotland in Christmas card launch,,http://www.scotlandoffice.gov.uk/scotlandoffice/18251.html,3 December 2012
"Commenting on the news that 300 highly skilled Defence sector jobs in Glenrothes have been secured by a £25 million MOD contract for new RAF precision weapons from Raytheon UK, the Secretary of State for Scotland said:-

 

""I am delighted that Raytheon UK has been awarded an MOD contract valued at £25 million for new RAF precision weapons. Some 300 of the jobs sustained by this contract will be at Raytheon's Glenrothes facility.  This is excellent news forScotland and highlights the key role the defence industry in Scotland plays in equipping and supporting our armed forces throughout the UK."" 
",Scotland Office,Moore Welcomes Raytheon Contract,,http://www.scotlandoffice.gov.uk/scotlandoffice/18250.html,3 December 2012
"The Secretary of State for Scotland Michael Moore said:

""Today's news from bmi is obviously very disappointing for Glasgow. In my discussions with the chief executive it has been clear that this commercial decision has been taken  reluctantly, based on underlying issues on the route. The route does not appear to have been commercially viable for bmi for some time.

""In my discussions with bmi's Wolfgang Prock-Schauer he has understood my concerns about the importance of air links for Scottish cities, businesses and individuals. I appreciate that the decision has not been taken lightly.

""Mr Prock-Schauer has said that bmi will be able to look at the route again in the future and we all hope it will be possible to re-establish the flights.""
",Scotland Office,Michael Moore comments on the suspension of flights by BMI,"The Secretary of State for Scotland,  Michael Moore's statement following the bmi announcement on the suspension of the Glasgow to Heathrow route.",http://www.scotlandoffice.gov.uk/scotlandoffice/15170.html,31 January 2011
"The UK Government will only proceed with their radical plans to strengthen Scottish devolution ""with the formal and explicit consent of the Scottish Parliament"", Scottish Secretary Michael Moore confirmed in the House of Commons today.

Opening the debate on the 2nd Reading of the Scotland Bill, Mr Moore told MPs that the Coalition Government's legislation amounted to the largest transfer of fiscal powers from London since the creation of the UK. He said it would fundamentally change the powers and responsibilities of the Scottish Parliament and, for that reason, could only happen with the agreement of the Holyrood.

The 2nd Reading debate in the House of Commons is the start of the UK Parliament's scrutiny of the Scotland Bill. The Scottish Parliament established a Scotland Bill Committee in December to study the Bill in detail. The Scottish Parliament is expected to vote on a Legislative Consent Motion for the Scotland Bill in March.

The Scotland Bill is the UK Government's legislation to implement the recommendations of the Calman Commission which examined ways to strengthen devolution in Scotland.

If supported by the UK and Scottish Parliaments, the Scotland Bill will mean that:

  * MSPs at Holyrood will have to set a Scottish rate of income tax each year and will be responsible for raising a much greater proportion (around 35%) of the revenue they spend.
  * The Scottish Parliament with get borrowing powers of £2.7bn
  * The Scottish Parliament will have responsibility for stamp duty, landfill tax and the ability to propose new taxes.
  * Policy responsibility in areas such as air weapons, drink drive limits and speed limits will be devolved to the Scottish Parliament and Scottish Government.
  * A Scottish Cash Reserve will be created to bank and save money where tax receipts exceed those expected.

Opening the 2nd Reading debate in the House of Commons, Scottish Secretary Michael Moore said:

""We have a Parliament in Scotland that can determine policy on a wide range of subjects.  It can determine how and where money is spent.  But at present it cannot be held effectively to account for raising the money it spends

""The Scotland Bill addresses that imbalance by providing a package of taxation and borrowing powers that will see the Scottish Parliament become accountable for over a third of the money it spends. In doing so, the Bill represents the largest transfer of fiscal powers from central government since the creation of the United Kingdom. 

""It is a radical but responsible step. Most significantly, we will create a Scottish income tax.  We will create that tax by cutting 10 pence off the basic, higher and 50 pence tax rates for Scottish taxpayers, adjusting the block grant in proportion, and allowing the Scottish Parliament - indeed, obliging it - to reset those rates at a level of their choosing.

""This will give Scottish Ministers and the Scottish Parliament a much more significant stake in the performance of the Scottish economy.  The level of the Scottish rate will be Scotland's to decide.  And those who set the rates will answer directly to those affected by them. Power will rest with the Scottish people.

""Mr Speaker, this is the first time since the creation of devolution that a Government has brought forward legislation with such wide-ranging effect on the current settlement. Indeed, this Bill will fundamentally change the powers and responsibilities of the Scottish Parliament. 

""For that reason, this Government will only proceed with this Bill with the formal and explicit consent of the Scottish Parliament.

""It is right and proper that the Scottish Parliament should examine the measures that we set out in the Scotland Bill.  I welcome the thorough way in which it is going about its business.  And I look forward to returning to discuss the provisions with the Bill committee in the Scottish Parliament next week.""

[Read the Secretary of State's speech to Parliament](/scotlandoffice/14853.html)
",Scotland Office,Radical devolution plans require Holyrood's backing says Moore,"The UK Government will only proceed with their radical plans to strengthen Scottish devolution ""with the formal and explicit consent of the Scottish Parliament"", Scottish Secretary Michael Moore confirmed in the House of Commons today.",http://www.scotlandoffice.gov.uk/scotlandoffice/15180.html,27 January 2011
"Commenting on Holocaust Memorial Day, the Secretary of State for Scotland Michael Moore said:

""The Holocaust commemorates the darkest hour in European history.

""Sixty six years ago today the Red Army liberated the Auschwitz-Birkenau death camp, where over one million Jews perished.

""We have a duty to ensure that the memory of the genocide of six million European Jews in the Second World War endures. They came from all across Europe and spanned generations - from the smallest babies to the old and the frail.

""It is right that we remember, and I applaud the work of groups like the Holocaust Educational Trust and the Board of Deputies of British Jews for the ongoing work in Holocaust remembrance.

""As the ranks of Holocaust survivors dwindle in number we will ensure their memory lives on.

""Unforgivably, there is a minority in our society who deny the Holocaust and vent anti-semitic prejudices.

""There is no place for this hate in modern Scotland. We will do our utmost to make sure that the power of democracy overcomes the scourge of anti-semitism.""
",Scotland Office,Holocaust Memorial Day,Secretary of State for Scotland Michael Moore commetns on Holocaust Memorial Day,http://www.scotlandoffice.gov.uk/scotlandoffice/15168.html,27 January 2011
"The Secretary of State for Scotland - and Formula One fan - Michael Moore said he was very pleased at the news the Force India team is to give a race seat to the Scottish driver Paul di Resta.

Mr Moore said:

""I am delighted to see Paul reach the pinnacle of his sport by landing a drive with the Force India team. He will be the only Scottish driver competing in Formula One this season and the first since David Coulthard retired.

""The whole country should be proud of him and his achievement.

""Paul is the latest in a long line of Scottish Formula One stars, including the legendary names Jim Clark and Jackie Stewart. I have no doubt the hard work, dedication and speed that Paul has shown throughout his career will stand him in good stead.

""I wish him all the best for the coming season and what I hope will be a long career at the top of his sport.""
",Scotland Office,Grid lights lit as di Resta lines up as latest Scot in F1,The Secretary of State for Scotland - and Formula One fan - Michael Moore said he was very pleased at the news the Force India team is to give a race seat to the Scottish driver Paul di Resta.,http://www.scotlandoffice.gov.uk/scotlandoffice/15167.html,26 January 2011
"Commenting on the news the UK's GDP contracted by 0.5% in the last quarter of 2011, the Secretary of State for Scotland Michael Moore said:

""The fact GDP shrank in the last quarter is an obvious cause for concern but it is clear that extraordinary circumstances played a key part. The cold weather has had a significant knock-on effect in our economy.

""The government has put a fiscal plan in place to reduce the deficit. Today the IMF has again said the failure to implement credible fiscal consolidation plans is a risk to growth in advanced economies. That is why we must stay the course on the plan we set out in June, which is essential to bring stability back to our economy as we deal with the financial legacy we inherited.""
",Scotland Office,Michael Moore comments on the latest UK GDP figures,Moore: Latest figures not an obvious cause for concern.,http://www.scotlandoffice.gov.uk/scotlandoffice/15169.html,25 January 2011
"The Secretary of State for Scotland Michael Moore visited the RAF Leuchars base in Fife today (Monday 24 January).

The Minister met senior personnel to discuss the future of the base in the light of the UK Government's defence review. He met local community and business leaders at a separate meeting later.

Moore said:

""I made it a priority prior to the government's defence review to visit all the RAF bases in Scotland to listen to the concerns of those involved and have continued that process following the SDSR.

""The purpose of today's visit was to listen to the points being put forward by staff at the base and to feed that back in to government.

""Decisions on the RAF bases will be made in Spring and both I and Scotland Office officials will keep in close contact with the bases and communities in Fife and Moray during that time.""
",Scotland Office,Moore meets senior personnel at RAF Leuchars,The Secretary of State for Scotland Michael Moore visited the RAF Leuchars base in Fife to meet with senior personnel.,http://www.scotlandoffice.gov.uk/scotlandoffice/14848.html,24 January 2011
"Michael Moore meets energy companies to discuss social tariffs

The UK Government has spent over £50 million to help some of the most vulnerable in Scotland cope with the recent cold snap, the Secretary of State for Scotland Michael Moore announced revealed today.

At the Spending Review in October the Coalition Government turned the temporary increase in the Cold Weather Payments by the last government into a permanent increase.  The payments of £25 per week are triggered when temperatures at local weather stations dip below an average of zero degrees over a week.

There have been just over two million separate cold weather payments in Scotland between 23 November 2010 and 18 January 2011, totalling around £52.3 million of financial assistance to disabled adults and children, the elderly and families with young children who receive an income related benefit. Around 437,500 individuals in Scotland have received help from the payment scheme at a time when help is needed most.

The Secretary of State said:

""The Coalition Government is committed to supporting the vulnerable in Scotland and the cold weather payments are just one example of the steps we are taking to make sure people can cope with difficult weather conditions. The £52 million Scots have received is money well spent.

""My discussions with the big six energy companies were very useful and I pressed home the importance of maintaining social tariffs to protect those who need most help with their bills. I also know families and businesses have concerns over rising energy costs and we will continue to work with the energy companies closely.""

Many eligible people across Scotland will also have received Winter Fuel Allowance payments, which will also help them at this difficult time of year.

Michael Moore has been working closely with the Energy Secretary on the introduction of the Warm Front Discount scheme which also forms part of the Government's broader proposals for helping vulnerable customers.

During December, the Secretary of State discussed pricing and social tariffs with senior executives of SSE, Eon, EDF, RWE npower, Scottish Gas and ScottishPower.

The Secretary of State discussed the responsibility of the companies to assist their most vulnerable customers with manageable energy costs and the need to publicise the assistance available. The companies have commitments to maintain their current social tariffs through this winter despite price rises for other customers.
",Scotland Office,Vulnerable in Scotland receive £52 million in Cold Weather Payments from UK Government,"The UK Government has spent over £50 million to help some of the most vulnerable in Scotland cope with the recent cold snap, the Secretary of State for Scotland Michael Moore announced revealed today.",http://www.scotlandoffice.gov.uk/scotlandoffice/14841.html,24 January 2011
"Michael Moore meets energy companies to discuss social tariffs

The UK Government has spent over £50 million to help some of the most vulnerable in Scotland cope with the recent cold snap, the Secretary of State for Scotland Michael Moore announced revealed today.

At the Spending Review in October the Coalition Government turned the temporary increase in the Cold Weather Payments by the last government into a permanent increase.  The payments of £25 per week are triggered when temperatures at local weather stations dip below an average of zero degrees over a week.

There have been just over two million separate cold weather payments in Scotland between 23 November 2010 and 18 January 2011, totalling around £52.3 million of financial assistance to disabled adults and children, the elderly and families with young children who receive an income related benefit. Around 437,500 individuals in Scotland have received help from the payment scheme at a time when help is needed most.

The Secretary of State said:

""The Coalition Government is committed to supporting the vulnerable in Scotland and the cold weather payments are just one example of the steps we are taking to make sure people can cope with difficult weather conditions. The £52 million Scots have received is money well spent.

""My discussions with the big six energy companies were very useful and I pressed home the importance of maintaining social tariffs to protect those who need most help with their bills. I also know families and businesses have concerns over rising energy costs and we will continue to work with the energy companies closely.""

Many eligible people across Scotland will also have received Winter Fuel Allowance payments, which will also help them at this difficult time of year.

Michael Moore has been working closely with the Energy Secretary on the introduction of the Warm Front Discount scheme which also forms part of the Government's broader proposals for helping vulnerable customers.

During December, the Secretary of State discussed pricing and social tariffs with senior executives of SSE, Eon, EDF, RWE npower, Scottish Gas and ScottishPower.

The Secretary of State discussed the responsibility of the companies to assist their most vulnerable customers with manageable energy costs and the need to publicise the assistance available. The companies have commitments to maintain their current social tariffs through this winter despite price rises for other customers.
",Scotland Office,Vulnerable in Scotland receive £52 million in Cold Weather Payments from UK Government,"The UK Government has spent over £50 million to help some of the most vulnerable in Scotland cope with the recent cold snap, the Secretary of State for Scotland Michael Moore announced revealed today.",http://www.scotlandoffice.gov.uk/scotlandoffice/15179.html,24 January 2011
"Unemployment in Scotland fell by 5,000, to 225,000 in the period September to November 2010, according to Office for National Statistics (ONS) data released today. The Scottish unemployment rate is 8.4 per cent, above the UK average unemployment rate of 7.9 per cent.

The labour market statistics also show employment in Scotland has increased by 18,000 over the three months to September to November 2010. The number of those in employment in Scotland now stands at 2,470,000.

The Secretary of State for Scotland Michael Moore said:

""Any news of falling unemployment in Scotland is to be welcomed but these figures also show the scale of the challenge this government faces.

""Conditions for the Scottish labour market are undoubtedly  tough, despite a fall in unemployment and an increase in employment over the three months to November. The increase in the number of people claiming Jobseekers Allowance is an unwelcome reminder of the effects of the financial crisis we inherited.

""The Government is doing everything it can to create the conditions that enable all businesses to be thrive and create more jobs. Tackling the deficit is unavoidable and is the steps we are taking are already helping keep long-term interest rates lower and encourage businesses to invest and grow.

""Economic growth forms the basis of the Government's agenda and the Growth Review will set out the conditions for the private sector to flourish and to create the long-lasting quality jobs. Our programme of reform and cutting corporation tax from 28 to 24 per cent over the next 4 years is part of this growth agenda and will provide the conditions that businesses need to invest in this country and new jobs.""

Headline Statistics for the September - November 2010 quarter:

  * Employment in Scotland increased by 18,000 over the quarter, and fell by 38,000 over the year to stand at 2,470,000.
  * The Scots employment rate increased by 0.4 percentage points over the quarter to 70.7 per cent. The rate is just above the UK average of 70.4 per cent.
  * Unemployment in Scotland fell by 5,000 over the quarter.  The level now stands at 225,000.
  * At 8.4 per cent, the Scots unemployment rate is higher than the UK figure of 7.9 per cent.
  * Economic Activity level increased by 13,000 over the quarter and now stands at  2,695,000. The Economic Activity rate rose over the quarter, and stands at 77.3 per cent.
  * In December 2010, the number of people out of work and claiming Jobseekers Allowance (JSA) was 138,300.  This represents an increase of 2,200 over the month and is the sixth increase since the beginning of 2010.

## Latest Data for Scotland

### Employment

The Labour Force Survey (LFS) indicates that the number of people in employment in Scotland from September - November 2010 was 2,470,000.  Employment was up by 18,000 compared to the previous three months and down by 38,000 compared to the same period last year. The employment rate increased by 0.4 per cent over the quarter, and fell 1.4 per cent over the year, to 70.7 per cent. In comparison, the Scottish employment rate is just above the UK average.

### Unemployment

Unemployment in Scotland was down 5,000 over the quarter September - November 2010, to 225,000.  The level was up 23,000 compared to the same quarter last year. The unemployment rate was down 0.2 p.p. from the previous quarter to 8.4 per cent, which is up 0.9 p.p. over the year.

### Claimant Count

The claimant count in Scotland, based on the seasonally adjusted number of people claiming Job Seeker's Allowance (JSA), increased by 2,200 from November, to 138,300 in December 2010.  The level is up by 2,400 on December 2009.  The claimant count rate is up by 0.1 percentage points over the month at 5.0 per cent, and up by 0.1 percentage points over the year.

### Economic Activity

The number of economically active (defined as those in employment or ILO unemployed, seasonally adjusted) in Scotland in the September - November 2010 quarter was 2,695,000.  This was up 13,000 on the previous quarter, and down 15,000 on the same point a year ago.  Among those aged 16-64, the economic activity rate was 77.3 per cent, up 0.2 p.p. on the previous quarter, and down 0.7 p.p. over the year.

To access the data from the ONS site, click on the following link:

[http://www.statistics.gov.uk/StatBase/Product.asp?vlnk=15084](http://www.statistics.gov.uk/StatBase/Product.asp?vlnk=15084Select)

Select the link ""Regional Monthly Data - January 2011"" which will prompt you to unzip a folder of Excel files. Then select the file ""LMSScot0910"" to access the data.
",Scotland Office,January Labour Market Statistics for Scotland,"Unemployment in Scotland fell by 5,000, to 225,000 in the period September to November 2010, according to Office for National Statistics (ONS) data released today.",http://www.scotlandoffice.gov.uk/scotlandoffice/14821.html,19 January 2011
"The Scottish Secretary Michael Moore has invited the leaders of Edinburgh and Glasgow Councils to talks with the Secretary of State for Transport about bringing high speed rail to Scotland.

The UK Government has announced plans to create a High Speed Rail network to increase rail capacity, reduce journey times and to achieve this while meeting our climate change objectives.

Mr Moore has previously held separate talks with both Edinburgh and Glasgow leaders to discuss  how the high speed rail network can extend to Scotland. The Scottish Secretary has set up talks with the Transport Secretary, Philip Hammond so that the cities can make their case directly to him. The meeting is scheduled to take place in the House of Commons tomorrow (Wednesday) afternoon.

Speaking ahead of the meeting Michael Moore said:

""The new high speed network being  planned by the Coalition Government will reduce rail journey times to London. Edinburgh and Glasgow are working hard to make the technical case for high speed rail coming to Scotland. I have heard what the leaders of those cities have to say and I am committed to helping them  develop their case inside the UK Government.

""I have set up today's meeting at the House of Commons so that Philip Hammond can understand the benefits our two major cities believe high speed rail can deliver for them. I believe it is a useful opportunity to explore the progress that is being made and what the next steps need to be.""

Jenny Dawe and Gordon Matheson will attend the meeting and are the leaders of Edinburgh and Glasgow councils respectively.
",Scotland Office,Scottish Secretary convenes High Speed Rail talks in London tomorrow,The Scottish Secretary Michael Moore has invited the leaders of Edinburgh and Glasgow Councils to talks with the Secretary of State for Transport about bringing high speed rail to Scotland.,http://www.scotlandoffice.gov.uk/scotlandoffice/15175.html,11 January 2011
"Michael Moore was at Edinburgh Airport this morning to welcome the Chinese Vice Premier Li Keqiang at the beginning of his four-day to the United Kingdom.

The Secretary of State held a formal meeting with the Vice Premier in Edinburgh to discuss a range of issues, including the future of trade and further social and cultural links between the United Kingdom, including Scotland, and China.

The Vice Premier will meet the Prime Minister, Deputy Prime Minister and Chancellor as well as other UK Ministers during his visit. He will also meet the First Minister in Edinburgh today.

Following the private meeting, the Secretary of State said:

""I had a very constructive meeting with Vice Premier Li Keqiang this afternoon  which will build on the existing relationship between our countries.

""China and the UK are key partners in growth for the future. There are a huge number of economic opportunities which exist between China and Scotland and I am keen to see us take advantage of our excellent trading links and create new routes to market in the near future.

""I told the Vice Premier we had already achieved much together, including the protection of Scotch whisky in the Chinese market, and that we had many areas of common interest such as the future of renewable energy and links between our respective financial, education and tourism sectors, as part of the comprehensive strategic partnership between our countries.

""His visit here is a significant sign that Scotland is a key part of the United Kingdom's relationship with the rest of the world. I warmly welcome the Vice Premier and the Chinese delegation to Scotland and the rest of the United Kingdom.""
",Scotland Office,Secretary of State welcomes China's Vice Premier Li Keqiang to Scotland,,http://www.scotlandoffice.gov.uk/scotlandoffice/14844.html,09 Jan 2011
"Scotland will continue to play a key role in the defence of the UK, the Secretary of State for Scotland Michael Moore said after a visit to HM Naval Base Clyde today (Thursday 6 January).

The Minister met key personnel to learn more about operations at Scotland's largest military establishment. The base has a staff of over 7000 and is the single largest site employer in Scotland.

The base is home to the UK's nuclear deterrent as well as conventionally-armed submarines and mine-sweeping vessels. The flotilla includes the first of the Astute Class attack submarines as well as the Vanguard submarines that maintain the country's continuous at sea nuclear deterrent.

HM Naval Base Clyde will take on a further role as home to the Trafalgar Class attack submarines following the MoD's maritime Change Programme Announcement. It also provides specialist maritime and nuclear engineering support as well as one of the world's largest Shiplift facilities, capable of lifting a 16,000 tonne Vanguard Class submarine out of the water for maintenance.

The Secretary of State toured these facilities and a submarine where he spoke to personnel and heard about the future plans for the site.

The Minister said:

""Faslane is proof of the UK Government's ongoing commitment to a defence footprint in Scotland. I was once again impressed by the professionalism and dedication of the armed forces who work on the base and its vessels.

""Not only does the base provide world-class facilities and expertise, it is also of huge strategic importance in the defence of the UK. It is the single largest site of employment in Scotland and the fact it is to become the main operating base for all of our submarine fleet underlines the important role it plays.

""The defence review has produced a number of challenges in Scotland, particularly surrounding the future of RAF bases. Decisions will be made later this year but it is clear Scotland will continue play a key part in defending our country long into the future.""
",Scotland Office,Moore visits HM Naval Base Clyde,"The Secretary of State said Scotland will ""continue to play a key role in defence"" after tour of base.",http://www.scotlandoffice.gov.uk/scotlandoffice/14845.html,06 Jan 2011
"The North-east of Scotland has an important role to play in the recovery of Scotland's economy, Michael Moore told the Aberdeen and Grampian Chamber of Commerce yesterday.

The Minister took the opportunity to hear the concerns of the business community following a visit to a local business.

He said: ""I was glad to have the chance to visit the North-east of Scotland and speak to businesses and members of the Chamber to hear not only their concerns but also their successes.

""As well as addressing the Chamber, I also had the chance to visit the family-run food business Macphie of Glenbervie to hear first-hand from one important sector in this area.

""The region is at the heart of Scotland's economy and will play a key part in our recovery. It is clear the private sector, including the ever-important oil and gas industry, is going to lead the way in creating the growth this government has set as its priority.

""We will work to provide a business environment which allows that to happen and creates the jobs and prosperity we need to get back to economic health.""
",Scotland Office,Secretary of State visits Aberdeen and Grampian,Michael Moore met businesses and addressed the local Chamber of Commerce in Aberdeen.,http://www.scotlandoffice.gov.uk/scotlandoffice/14843.html,6 Jan 2011
"Emerging world markets and innovation by Scottish companies are key to securing Scotland's economy in the future, the Secretary of State for Scotland heard on a visit to Glasgow today (Wednesday 23 February).

Michael Moore toured the family-owned McLaren Packaging at Port Glasgow to meet the management and staff and hear about the challenges facing the firm, which employs over 60 people and has an annual turnover of around £9m.

He met the father-and-son team Jim and Donald McLaren, key operational and commercial staff and was given a tour of the factory before discussing steps the UK Government was taking to support business in Scotland.

The award-winning firm benefits indirectly from Scotch Whisky's strong position in the international market as it has supplied packaging to the drinks industry since 1978. It currently supplies around 20 million cases each year.

Issues facing the company and Scottish industry were also raised during the visit, including price inflation affecting the cost of raw material and fuel prices and their impact on the transportation of goods.

The Secretary of State said:

""The Scottish economy is full of businesses that know the way to secure future growth is to look for opportunities both in the domestic market but also in growing foreign economies.

""McLaren Packaging is a prime example of the positive effects exports to the emerging and established foreign markets can have on the Scottish supply chain. In this case it is based on the success story of Scotch Whisky, but the same applies to companies operating across a wide range of sectors. The UK Government is also tackling the issue of protecting the Scotch Whisky brand internationally through geographical indication of origin status.

""The private sector is absolutely essential to the UK's recovery and as a government we are working hard to create the right mix of stability and flexibility to allow companies to innovate and grow both profit and jobs.

""I listened closely to the range of issues the company raised on behalf of its sector and will feed those back into government.""

McLaren Packaging was founded in 1978 by Jim McLaren and remains a family owned business based in Port Glasgow.  It is a specialist supplier to the drinks industry and has grown and diversified to supply corrugate cases, solidboard divisions, composite tubes, packing machinery and associated packs.

The UK Government has introduced a rolling programme of  Growth Review, which was announced last year.  It will consider what each part of government is doing to provide the conditions for private sector success and tackle the barriers faced by industry.

The Government is seeking to remove some of the most entrenched barriers to growth that cut across most businesses such as looking at how we change and improve the planning system, competition policy, regulation, trade and inward investment, access to finance and corporate governance.
",Scotland Office,Moore: Emerging markets key to Scotland's economy,"Emerging world markets and innovation by Scottish companies are key to securing Scotland's economy in the future, the Secretary of State for Scotland heard on a visit to Glasgow today (Wednesday 23 February).",http://www.scotlandoffice.gov.uk/scotlandoffice/15172.html,23 February 2011
"The Secretary of State for Scotland Michael Moore met children from the Big Noise Orchestra today to see how music is helping to bring the local community together.

Speaking after the visit Mr Moore said that the Big Noise Orchestra is proving to be a great way of bringing the local community together, whilst also helping the children improve their confidence, teamwork, pride and aspirations.

After watching the children practicing Mr Moore said:

""This is an innovative way to work with vulnerable and disabled children, helping develop pride in themselves and their communities.  The success of Sistema speaks for itself with performances at Edinburgh's Queens Hall and Stirling's Albert Hall as well as performances at Raploch.

""It was good to hear that this new and inspirational way of working with children will not be restricted to Raploch, and I look forward to seeing the Sistema organisation grow and prosper over the coming years.

""It is also great to see one of Scotland's greatest musicians, Nicola Benedetti, taking an active part in supporting the orchestra by becoming the official musical 'Big Sister'.""

Sistema Scotland is a charity set up in the belief that children can gain huge social benefits by playing in a symphony orchestra.  They take the name Sistema from the orchestra movement established in Venezuela and seek to benefit from the South Americans' expertise, while adapting their methods to suit conditions in Scotland.

Sistema Scotland exists to develop orchestra centres on the ground in Scotland. These are known in the community as Big Noise. The first is Raploch, Stirling. By 2013 they will open three children's orchestra centres.
",Scotland Office,Venezuelan musical movement inspiring Scottish children,The Secretary of State for Scotland Michael Moore met children from the Big Noise Orchestra today to see how music is helping to bring the local community together.,http://www.scotlandoffice.gov.uk/scotlandoffice/15178.html,22 February 2011
