Associated organisations,Attachments,Title,Summary,Old URL,Type,Publication date
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 361.pdf"", ""title"": ""Ministerial International Trips ""}]",Ministerial International Trips,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16669&mon=jan,Latest releases,24-Jan-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 358.pdf"", ""title"": ""Ministerial briefings for preferences and speeches 178KB""}]",Ministerial preferences and briefings,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16669&mon=jan,Latest releases,12-Jan-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 357.pdf"", ""title"": ""Staff employed by contract and grade ""}]",Staff employed by contract and grade,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16669&mon=jan,Latest releases,09-Jan-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 394.pdf"", ""title"": ""Staff claims for wear and tear in clothes ""}]",Staff claims for wear and tear in clothes,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,29-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 372.pdf"", ""title"": ""Ministerial visits between the election of the coalition and December 2011 ""}]",Ministerial visits between the election of the coalition and December 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,24-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 374.pdf"", ""title"": ""Cost and number of calls made to the Speaking Clock ""}]",Cost and number of calls made to the Speaking Clock,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,08-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 384.pdf"", ""title"": ""Staff paid through tax efficient arrangements ""}]",Staff paid through tax efficient arrangements,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,08-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for webiste 376.pdf"", ""title"": ""Details of procurement lead ""}]",Details of procurement lead,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,08-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 377.pdf"", ""title"": ""The Scotland Office SIRO - Senior Information Risk Owner ""}]",The Scotland Office SIRO - Senior Information Risk Owner,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,08-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version 2 for website 378.pdf"", ""title"": ""Civil servants serving as local councillors ""}]",Civil servants serving as local councillors,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,07-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 383.pdf"", ""title"": ""Business rates for vacant property and accommodation ""}]",Business rates for vacant property and accommodation,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,07-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 379.pdf"", ""title"": ""Breakdown of hardware maintenance ""}]",Breakdown of hardware maintenance,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,07-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 382.pdf"", ""title"": ""Staff details on current secondees ""}]",Staff details on current secondees,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16670&mon=feb,Latest releases,07-Feb-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 399.pdf"", ""title"": ""Headcount reduction ""}]",Headcount reduction,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,27-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 405.pdf"", ""title"": ""Criminal record bureau checks ""}]",Criminal Record bureau checks,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,27-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 402.pdf"", ""title"": ""Mobile phone and PBX/VOIB maintenance contracts ""}]",Mobile phone and PBX/VOIB maintenance contracts,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,27-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 398.pdf"", ""title"": ""Public Sector strike on 30 November 2011 ""}]",Public Sector Strike on 30 November 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,27-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 396.pdf"", ""title"": ""Information management and filing systems ""}]",Information management and filing systems,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,26-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 393.pdf"", ""title"": ""Ministerial Travel on European Union business ""}]",Ministerial Travel on European Business,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,19-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 390.pdf"", ""title"": ""Publications for staff ""}]",Publications for staff,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,16-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 395.pdf"", ""title"": ""Ministerial Directions ""}]",Ministerial Directions,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,08-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 392.pdf"", ""title"": ""Staff signing off due to stress,bullying or harassment ""}]","Staff signing off due to stress, bullying or harassment",,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,05-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 389.pdf"", ""title"": ""Recruitment Contracts ""}]",Recruitment Contracts,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,05-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 385.pdf"", ""title"": ""Expenditure on external consultants ""}]",Expenditure on external consultants,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,05-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 386.pdf"", ""title"": ""Spending on Government Procurement cards by Permanent Secretaries ""}]",Spending on Government Procurement cards by Permanent Secretaries,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16671&mon=mar,Latest releases,05-Mar-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB 420.pdf"", ""title"": ""Media monitoring services to the Scotland Office (122KB)""}]",Media monitoring services to the Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,30-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB419.pdf"", ""title"": ""Number of media Press Officers (121KB)""}]",Number of media Press Officers,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,30-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB 425.pdf"", ""title"": ""Number of Subject Access requests (92KB)""}]",Number of Subject Access requests,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,26-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB 408.pdf"", ""title"": ""Ministerial Meetings (55KB)""}]",Ministerial Meetings,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,25-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB 407.pdf"", ""title"": ""Ministerial visits between May 2010 & December 2011 (156KB)""}]",Ministerial visits between May 2010 & December 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,23-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB 406.pdf"", ""title"": ""Use of official government car (101KB)""}]",Use of official government car,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,19-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 2 - DB 413.pdf"", ""title"": ""Spending on equalities & diversity schemes (135KB)""}]",Spending on equalities & diversity schemes,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,13-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB 404.pdf"", ""title"": ""Procedure for cases - copies produced in the Scotland Office (130KB)""}]",Procedure for cases - copies produced in the Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,10-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB401.pdf"", ""title"": ""Courses & Conferences attended by Scotland Office staff (148KB)""}]",Courses & Conferences attended by Scotland Office staff,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,04-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website - DB400.pdf"", ""title"": ""Media Training and Vocal coaching for Ministers (60KB)""}]",Media Training & Vocal coaching for Ministers,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16672&mon=apr,Latest releases,04-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 429.pdf"", ""title"": ""Scotland Bill Reception (70KB)""}]",Scotland Bill Reception,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16673&mon=may,Latest releases,31-May-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 426.pdf"", ""title"": ""Block grant to the Scottish Parliament (63KB)""}]",Block grant to the Scottish Parliament,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16673&mon=may,Latest releases,25-May-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 409.pdf"", ""title"": ""Scotland's position in Europe (283KB)""}]",Scotland's position in Europe,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16673&mon=may,Latest releases,25-May-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 423.pdf"", ""title"": ""Internet domain names owned by the Scotland Office (68KB)""}]",Internet domain names owned by the Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16673&mon=may,Latest releases,14-May-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 416.pdf"", ""title"": ""Publication of results on the referendum consultation (78KB)""}]",Publication of results on the referendum consultation,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16673&mon=may,Latest releases,02-May-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 415.pdf"", ""title"": ""Individuals contribution to the Consultation (64KB)""}]",Individuals contribution to the consultation,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16673&mon=may,Latest releases,02-May-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 414.pdf"", ""title"": ""Consultation Results (65KB)""}]",Consultation Results,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16673&mon=may,Latest releases,02-May-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 431.pdf"", ""title"": ""Scotland Offices within the UK (94KB)""}]",Scotland Offices within the UK,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16674&mon=jun,Latest releases,28-Jun-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 436.pdf"", ""title"": ""Estates in the Scotland Office (70KB)""}]",Estates in the Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16674&mon=jun,Latest releases,19-Jun-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 432.pdf"", ""title"": ""Civil Servants in the Scotland Office (66KB)""}]",Civil Servants in the Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16674&mon=jun,Latest releases,18-Jun-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for Website DB 428.pdf"", ""title"": ""Uk Civil Servants seconded to European Union Institutions (76KB)""}]",UK Civil Servants seconded to European Union Institutions,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16674&mon=jun,Latest releases,06-Jun-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 433.pdf"", ""title"": ""MORI Research (221KB)""}]",MORI Research,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16674&mon=jun,Latest releases,01-Jun-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 438.pdf"", ""title"": ""Meetings with Alistair Darling (55KB)""}]",Meetings with Alistair Darling,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16677&mon=jul,Latest releases,17-Jul-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 437.pdf"", ""title"": ""Expenditure on artwork or sculpture (58KB)""}]",Expenditure on artwork or sculpture,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16677&mon=jul,Latest releases,12-Jul-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website FOI 424.pdf"", ""title"": ""Ministerial visit to the USA and Canada (72KB)""}]",Ministerial visit to the USA and Canada,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16677&mon=jul,Latest releases,02-Jul-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for Website - DB 443.pdf"", ""title"": ""Press & Communications Expenditure (80KB)""}]",Press & Communications Expenditure,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16676&mon=aug,Latest releases,23-Aug-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for Website - DB447.pdf"", ""title"": ""Judicial Reviews (63KB)""}]",Judicial Reviews,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16676&mon=aug,Latest releases,13-Aug-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for Website - DB445.pdf"", ""title"": ""Trade Union duties (102KB)""}]",Trade Union duties,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16676&mon=aug,Latest releases,09-Aug-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 457.pdf"", ""title"": ""Ministerial Meetings 2011-2012 (58KB)""}]",Ministerial Meetings 2011-2012,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16678&mon=sep,Latest releases,27-Sep-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 456.pdf"", ""title"": ""Expenditure of Apple hardware (29KB)""}]",Expenditure of Apple hardware,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16678&mon=sep,Latest releases,18-Sep-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 458.pdf"", ""title"": ""Government Departments moved from England to Scotland (59KB)""}]",Government Departments moved from England to Scotland,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16678&mon=sep,Latest releases,14-Sep-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 460.pdf"", ""title"": ""Departments of government moved from Wales to Scotland ""}]",Departments of Government moved from Wales to Scotland,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16678&mon=sep,Latest releases,14-Sep-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 454.pdf"", ""title"": ""Awarded contracts ( 80 KB )""}]",Awarded contracts,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16678&mon=sep,Latest releases,10-Sep-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 452.pdf"", ""title"": ""Ministerial Meetings 2010-2011 (105KB)""}]",Ministerial Meetings 2010-2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16678&mon=sep,Latest releases,06-Sep-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 449.pdf"", ""title"": ""Ministerial Meetings 2011 (53KB)""}]",Ministerial Meetings 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16678&mon=sep,Latest releases,06-Sep-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 448.pdf"", ""title"": ""Bonuses paid by the Scotland Office 22KB""}]",Bonuses paid by the Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16678&mon=sep,Latest releases,04-Sep-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 465.pdf"", ""title"": ""Individuals receiving salary from The Scotland Office 67KB""}]",Individuals receiving salary from The Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16679&mon=oct,Latest releases,31-Oct-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version 1 for website DB 464.pdf"", ""title"": ""Outside interests by member of the Poverty Advisory Group 67KB""}]",Outside interests by member of the Poverty Advisory Group,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16679&mon=oct,Latest releases,25-Oct-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 463.pdf"", ""title"": ""Number of flights taken by The Scotland Office 89KB""}]",Number of flights taken by Ministers in The Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16679&mon=oct,Latest releases,17-Oct-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 467.pdf"", ""title"": ""Contracts with motor manufacturers 54KB""}]",Contracts with motor manufacturers,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16679&mon=oct,Latest releases,16-Oct-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 461.pdf"", ""title"": ""Lost or stolen items from The Scotland Office in 2011 56KB""}]",Lost or stolen items from The Scotland Office in 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16679&mon=oct,Latest releases,15-Oct-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 462.pdf"", ""title"": ""Meetings with the Business Ambassador for the Uk Government 92KB""}]",Meetings with the Business Ambassador for the Uk Government,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16679&mon=oct,Latest releases,15-Oct-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 482.pdf"", ""title"": ""Promotions and Redundancies 98KB""}]",Promotions and Redundancies,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16680&mon=nov,Latest releases,29-Nov-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 483.pdf"", ""title"": ""Private Health Care Benefits (70KB)""}]",Private Health Care Benefits,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16680&mon=nov,Latest releases,29-Nov-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 484.pdf"", ""title"": ""Bonuses (66KB)""}]",Bonuses,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16680&mon=nov,Latest releases,29-Nov-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 480.pdf"", ""title"": ""staff seconded from outside organisations 69kb""}]",Staff seconded from outside organisations,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16680&mon=nov,Latest releases,28-Nov-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 475.pdf"", ""title"": ""Meetings with UK Business Ambassador 125KB""}]",Meetings with UK Business Ambassador,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16680&mon=nov,Latest releases,22-Nov-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 478.pdf"", ""title"": ""I.T.Communications Equipment (80KB)""}]",I.T.Communications Equipment,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16680&mon=nov,Latest releases,21-Nov-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website DB 476.pdf"", ""title"": ""CSSC Sports and Leisure Club (54KB)""}]",CSSC Sports and Leisure Club,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16680&mon=nov,Latest releases,15-Nov-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref20.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref1.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref5_1.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref15.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref16.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref17.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref18.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref19.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref21.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref5_2.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref3.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref2.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref5_3.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref4.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref6.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref7&8.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref9.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref10.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref11.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref12&13.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ref14.pdf"", ""title"": ""ref20.pdf[575.64 Kb]""}]",Referendum on Scottish Devolution,,http://www.scotlandoffice.gov.uk/scotlandoffice/10804.146.html,Archive releases,23-Mar-2005
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ANNEX A.doc"", ""title"": ""ANNEX A.doc[36.08 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ANNEX D1.DOC"", ""title"": ""ANNEX A.doc[36.08 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ANNEX B.doc"", ""title"": ""ANNEX A.doc[36.08 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ANNEX C.doc"", ""title"": ""ANNEX A.doc[36.08 Kb]""}]",Visits and engagements by the Secretary of State,,http://www.scotlandoffice.gov.uk/scotlandoffice/10804.146.html,Archive releases,10-Mar-2005
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SUMMARY OF FOI REQUEST 9-3.doc"", ""title"": ""SUMMARY OF FOI REQUEST 9-3.doc[64.69 Kb]""}]",Freedom of Information requests,,http://www.scotlandoffice.gov.uk/scotlandoffice/10804.146.html,Archive releases,09-Mar-2005
